B,PP,SC,R,CV,ephem,BG,flesha,Other,fila,MT,crusts,HAL
0,0.039919151086407256,0.28620102214650767,-0.26144455747711093,0.39457567804024496,-0.7098614506927465,-0.4974874371859297,-0.1165644171779141,0.0037735849056603765,0.6029962546816479,0.5315315315315314,0.11111111111111116,-0.11201629327902235
-0.039919151086407256,0,0.3732718894009217,-0.05982905982905984,0.25757575757575757,0.10784313725490197,0.1333333333333333,0.7837837837837838,0.21428571428571425,0.14285714285714285,-0.3442622950819672,-0.19999999999999996,0.6585365853658536
-0.28620102214650767,-0.3732718894009217,0,0.3129770992366412,-0.32295719844357973,0.48571428571428577,0.5813953488372092,0.22891566265060237,0.1891891891891892,-0.17127071823204415,-0.3924050632911393,-0.06666666666666665,0.510204081632653
0.26144455747711093,0.05982905982905984,-0.3129770992366412,0,-0.6125654450261779,0.16666666666666669,0.14553990610328643,-0.4444444444444444,-0.22222222222222227,-0.48648648648648646,0.368421052631579,-0.19999999999999996,0.24489795918367352
-0.39457567804024496,-0.25757575757575757,0.32295719844357973,0.6125654450261779,0,0.9583333333333333,0.8390804597701149,0.5555555555555556,0.07216494845360821,0.22543352601156075,-0.2698412698412698,0.6296296296296295,0.8744394618834082
0.7098614506927465,-0.10784313725490197,-0.48571428571428577,-0.16666666666666669,-0.9583333333333333,0,0.27868852459016397,-0.5463917525773196,-0.30434782608695654,-0.8604651162790697,-0.6603773584905661,-0.75,-0.32363636363636367
0.4974874371859297,-0.1333333333333333,-0.5813953488372092,-0.14553990610328643,-0.8390804597701149,-0.27868852459016397,0,-0.5789473684210527,-0.6363636363636365,-0.8484848484848484,-0.9292929292929293,-0.7894736842105263,-0.4453781512605042
0.1165644171779141,-0.7837837837837838,-0.22891566265060237,0.4444444444444444,-0.5555555555555556,0.5463917525773196,0.5789473684210527,0,0.23809523809523814,-0.6521739130434783,-0.7272727272727273,-0.19999999999999996,-0.021276595744680826
-0.0037735849056603765,-0.21428571428571425,-0.1891891891891892,0.22222222222222227,-0.07216494845360821,0.30434782608695654,0.6363636363636365,-0.23809523809523814,0,0.027027027027026973,-0.39999999999999997,0.25,0.3023255813953489
-0.6029962546816479,-0.14285714285714285,0.17127071823204415,0.48648648648648646,-0.22543352601156075,0.8604651162790697,0.8484848484848484,0.6521739130434783,-0.027027027027026973,0,-0.7058823529411764,0,0.4426229508196722
-0.5315315315315314,0.3442622950819672,0.3924050632911393,-0.368421052631579,0.2698412698412698,0.6603773584905661,0.9292929292929293,0.7272727272727273,0.39999999999999997,0.7058823529411764,0,-0.19999999999999996,0.7692307692307692
-0.11111111111111116,0.19999999999999996,0.06666666666666665,0.19999999999999996,-0.6296296296296295,0.75,0.7894736842105263,0.19999999999999996,-0.25,0,0.19999999999999996,0,0.6923076923076923
0.11201629327902235,-0.6585365853658536,-0.510204081632653,-0.24489795918367352,-0.8744394618834082,0.32363636363636367,0.4453781512605042,0.021276595744680826,-0.3023255813953489,-0.4426229508196722,-0.7692307692307692,-0.6923076923076923,0
